Time (s)   V_cell (kV)              I_cell (kA)              
 1.15475E-08   5.83036E+00   1.96039E-02
 1.15725E-08   5.84450E+00   2.15656E-02
 1.15975E-08   5.85832E+00   2.37061E-02
 1.16225E-08   5.87180E+00   2.60379E-02
 1.16475E-08   5.88491E+00   2.85741E-02
 1.16725E-08   5.89763E+00   3.13275E-02
 1.16975E-08   5.90992E+00   3.43111E-02
 1.17225E-08   5.92175E+00   3.75372E-02
 1.17475E-08   5.93310E+00   4.10176E-02
 1.17725E-08   5.94393E+00   4.47632E-02
 1.17975E-08   5.95419E+00   4.87837E-02
 1.18225E-08   5.96387E+00   5.30870E-02
 1.18475E-08   5.97291E+00   5.76793E-02
 1.18725E-08   5.98128E+00   6.25639E-02
 1.18975E-08   5.98894E+00   6.77420E-02
 1.19225E-08   5.99586E+00   7.32110E-02
 1.19475E-08   6.00199E+00   7.89655E-02
 1.19725E-08   6.00731E+00   8.49954E-02
 1.19975E-08   6.01177E+00   9.12876E-02
 1.20225E-08   6.01534E+00   9.78237E-02
 1.20475E-08   6.01800E+00   1.04582E-01
 1.20725E-08   6.01972E+00   1.11537E-01
 1.20975E-08   6.02046E+00   1.18659E-01
 1.21225E-08   6.02023E+00   1.25913E-01
 1.21475E-08   6.01900E+00   1.33264E-01
 1.21725E-08   6.01677E+00   1.40674E-01
 1.21975E-08   6.01352E+00   1.48101E-01
 1.22225E-08   6.00927E+00   1.55506E-01
 1.22475E-08   6.00403E+00   1.62847E-01
 1.22725E-08   5.99780E+00   1.70083E-01
 1.22975E-08   5.99060E+00   1.77177E-01
 1.23225E-08   5.98247E+00   1.84093E-01
 1.23475E-08   5.97342E+00   1.90797E-01
 1.23725E-08   5.96349E+00   1.97259E-01
 1.23975E-08   5.95272E+00   2.03456E-01
 1.24225E-08   5.94115E+00   2.09365E-01
 1.24475E-08   5.92882E+00   2.14969E-01
 1.24725E-08   5.91577E+00   2.20257E-01
 1.24975E-08   5.90205E+00   2.25219E-01
 1.25225E-08   5.88770E+00   2.29851E-01
 1.25475E-08   5.87278E+00   2.34153E-01
 1.25725E-08   5.85733E+00   2.38128E-01
 1.25975E-08   5.84139E+00   2.41780E-01
 1.26225E-08   5.82501E+00   2.45119E-01
 1.26475E-08   5.80822E+00   2.48153E-01
 1.26725E-08   5.79109E+00   2.50895E-01
 1.26975E-08   5.77364E+00   2.53358E-01
 1.27225E-08   5.75591E+00   2.55556E-01
 1.27475E-08   5.73794E+00   2.57503E-01
 1.27725E-08   5.71976E+00   2.59214E-01
 1.27975E-08   5.70140E+00   2.60705E-01
 1.28225E-08   5.68290E+00   2.61990E-01
 1.28475E-08   5.66428E+00   2.63084E-01
 1.28725E-08   5.64557E+00   2.64000E-01
 1.28975E-08   5.62679E+00   2.64754E-01
 1.29225E-08   5.60796E+00   2.65356E-01
 1.29475E-08   5.58911E+00   2.65821E-01
 1.29725E-08   5.57025E+00   2.66160E-01
 1.29975E-08   5.55140E+00   2.66383E-01
 1.30225E-08   5.53257E+00   2.66502E-01
 1.30475E-08   5.51378E+00   2.66525E-01
 1.30725E-08   5.49503E+00   2.66462E-01
 1.30975E-08   5.47636E+00   2.66321E-01
 1.31225E-08   5.45775E+00   2.66109E-01
 1.31475E-08   5.43922E+00   2.65835E-01
 1.31725E-08   5.42079E+00   2.65503E-01
 1.31975E-08   5.40245E+00   2.65120E-01
 1.32225E-08   5.38421E+00   2.64691E-01
 1.32475E-08   5.36608E+00   2.64222E-01
 1.32725E-08   5.34807E+00   2.63717E-01
 1.32975E-08   5.33017E+00   2.63180E-01
 1.33225E-08   5.31240E+00   2.62615E-01
 1.33475E-08   5.29476E+00   2.62025E-01
 1.33725E-08   5.27724E+00   2.61413E-01
 1.33975E-08   5.25986E+00   2.60782E-01
 1.34225E-08   5.24261E+00   2.60135E-01
 1.34475E-08   5.22549E+00   2.59474E-01
 1.34725E-08   5.20852E+00   2.58800E-01
 1.34975E-08   5.19168E+00   2.58117E-01
 1.35225E-08   5.17498E+00   2.57425E-01
 1.35475E-08   5.15842E+00   2.56727E-01
 1.35725E-08   5.14200E+00   2.56022E-01
 1.35975E-08   5.12573E+00   2.55314E-01
 1.36225E-08   5.10959E+00   2.54602E-01
 1.36475E-08   5.09360E+00   2.53888E-01
 1.36725E-08   5.07775E+00   2.53173E-01
 1.36975E-08   5.06204E+00   2.52457E-01
 1.37225E-08   5.04647E+00   2.51742E-01
 1.37475E-08   5.03104E+00   2.51027E-01
 1.37725E-08   5.01575E+00   2.50314E-01
 1.37975E-08   5.00060E+00   2.49603E-01
 1.38225E-08   4.98559E+00   2.48894E-01
